4.06; 11.25; 7.37; 10.06; 13.06; 2019/12/02 15:00
4.18; 11.25; 7.37; 10.06; 13.06; 2019/12/02 15:30
4.31; 11.25; 7.37; 10.06; 13.06; 2019/12/02 16:00
4.37; 11.18; 7.37; 9.93; 13.00; 2019/12/02 16:30
4.37; 11.18; 7.37; 10.00; 13.00; 2019/12/02 17:00
4.25; 11.25; 7.31; 10.12; 13.06; 2019/12/02 17:30
4.12; 11.18; 7.31; 10.12; 13.00; 2019/12/02 18:00
4.06; 11.25; 7.31; 10.06; 13.00; 2019/12/02 18:30
4.25; 11.25; 7.31; 10.06; 13.06; 2019/12/02 19:00
4.50; 11.25; 7.25; 10.06; 13.06; 2019/12/02 19:30
4.62; 11.18; 7.25; 10.00; 13.00; 2019/12/02 20:00
4.68; 11.18; 7.25; 10.00; 13.00; 2019/12/02 20:30
4.75; 11.25; 7.25; 10.06; 13.00; 2019/12/02 21:00
4.81; 11.25; 7.25; 10.06; 13.00; 2019/12/02 21:30
4.81; 11.31; 7.25; 10.06; 13.00; 2019/12/02 22:00
4.81; 11.25; 7.25; 10.06; 13.00; 2019/12/02 22:30
4.93; 11.18; 7.25; 10.00; 13.00; 2019/12/02 23:00
5.06; 11.18; 7.25; 10.06; 13.00; 2019/12/02 23:30
5.00; 11.25; 7.25; 10.00; 13.00; 2019/12/03 00:00
5.06; 11.31; 7.25; 10.06; 13.00; 2019/12/03 00:30
5.50; 11.31; 7.25; 10.12; 13.00; 2019/12/03 01:00
5.18; 11.31; 7.25; 10.06; 12.93; 2019/12/03 01:30
5.18; 11.25; 7.25; 10.06; 13.00; 2019/12/03 02:00
5.25; 11.18; 7.18; 10.00; 13.00; 2019/12/03 02:30
5.31; 11.18; 7.25; 10.00; 13.00; 2019/12/03 03:00
5.31; 11.25; 7.25; 10.00; 12.93; 2019/12/03 03:30
5.37; 11.18; 7.18; 10.00; 12.93; 2019/12/03 04:00
5.50; 11.31; 7.25; 10.06; 12.93; 2019/12/03 04:30
